网址,上次抓取日期
https://chinahospitalsguide.com/news/stem-cell-therapy-china-2026-guide.html,2026-04-27
https://chinahospitalsguide.com/checklist.html,2026-04-27
https://chinahospitalsguide.com/contact.html,2026-04-27
https://chinahospitalsguide.com/cost-comparison.html,2026-04-27
https://chinahospitalsguide.com/contact-new.html,2026-04-27
https://chinahospitalsguide.com/real-stories.html,2026-04-27
https://chinahospitalsguide.com/news/2026-04-05-singapore-bap1-cancer-breakthrough-china-compare.html,2026-04-20
https://chinahospitalsguide.com/news/2026-04-17-revolution-medicines-pancreatic-cancer-daraxonrasib-china-compare.html,2026-04-19
https://chinahospitalsguide.com/news/2026-04-14-macao-health-tourism-expansion-hengqin-china-compare.html,2026-04-19
https://chinahospitalsguide.com/news/2026-04-16-thailand-health-insurance-requirement-2026-china-compare.html,2026-04-19
https://chinahospitalsguide.com/news/,2026-04-19
https://chinahospitalsguide.com/hospitals.html,2026-04-19
https://chinahospitalsguide.com/pricing.html,2026-04-19
https://chinahospitalsguide.com/news/2026-04-11-us-proton-therapy-trial-survival-china-compare.html,2026-04-13
https://chinahospitalsguide.com/resources.html,2026-04-11
https://chinahospitalsguide.com/stories.html,2026-04-01
https://chinahospitalsguide.com/news/2026-03-28-vitamin-fatty-liver-china-compare.html,2026-03-31
https://chinahospitalsguide.com/news/2026-03-24-japan-stem-cell-diabetes-therapy-approval.html,2026-03-30
https://chinahospitalsguide.com/news/2026-03-27-hello-china-2026-tcm-wellness.html,2026-03-29
